Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
312f2c99-0779-045c-8450-48f26754bcea,2013-05-10,,999-80-1174,,,,Kermit56,,Thiel172,,,,white,nonhispanic,M,Marlborough  Massachusetts  US,113 Predovic Harbor Suite 90,Revere,Massachusetts,Suffolk County,25025,02151,42.37896637210863,-70.96973705423767,2100.00,33474.53,13423
cdae60db-5764-11bc-d1e4-a1e36d1484bd,1963-09-15,,999-20-7634,S99963678,X70459304X,Mrs.,Petrina721,Marilee479,Kessler503,,Lueilwitz711,W,white,nonhispanic,F,Brookline  Massachusetts  US,927 Windler Plaza Suite 64,Bridgewater,Massachusetts,Plymouth County,25023,02324,42.015672950259535,-70.96476252325392,437990.88,770816.92,146363
2ace29d0-1625-302c-eb43-3ce86b20aeaf,1992-08-30,,999-38-3760,S99919857,X76014694X,Mrs.,Nicolle442,,Wolf938,,Feest103,M,asian,nonhispanic,F,Needham  Massachusetts  US,578 Considine Ramp Suite 24,Waltham,Massachusetts,Middlesex County,25017,02451,42.33448725331932,-71.1809272890406,290117.55,807880.75,77093
8e124cc1-ab1c-d250-7b73-0fdb5cfe2e35,1989-07-25,,999-91-7179,S99975825,X716152X,Mrs.,Carlota980,Fredda152,Zieme486,,Pagac496,M,white,hispanic,F,Hanson  Massachusetts  US,1083 Eichmann Mission,Methuen,Massachusetts,Essex County,25009,01841,42.757108374238136,-71.15490137757811,171797.31,595748.84,51508
89db39b3-048a-7a2b-1a1c-b0a9da09d71b,1959-12-04,,999-78-9829,S99973862,X67595572X,Mrs.,Magali989,Ping698,Lebsack687,,Ritchie586,M,white,nonhispanic,F,Plainville  Massachusetts  US,178 Gaylord Gateway Apt 3,Fitchburg,Massachusetts,Worcester County,25027,01420,42.589239887142895,-71.86219868856601,928414.17,266308.98,86690
8dc425f7-b37f-c0e4-8d81-6f20ddeea5ac,1933-04-26,,999-59-6498,S99913435,X50193059X,Mr.,Bruno518,Reynaldo722,Miller503,,,S,white,nonhispanic,M,Ludlow  Massachusetts  US,261 Corkery Ranch Apt 70,West Chatham,Massachusetts,Barnstable County,25001,02669,41.694501695213695,-69.98236701837803,102990.05,298918.41,815648
31d7dad4-f632-3903-8c09-0d6ba458730e,1971-12-10,,999-15-7575,S99987523,X73259540X,Ms.,Nga248,Jalisa590,Robel940,,,S,black,hispanic,F,Medford  Massachusetts  US,524 Harris Gardens Suite 88,Wilmington,Massachusetts,Middlesex County,25017,01887,42.573206331704306,-71.1943224784153,238480.88,334984.77,159793
0d3f0c01-5021-cedd-1433-e47442bfffc9,2007-02-16,,999-42-7246,S99910057,,Ms.,Charisse42,Yoshiko258,Stamm704,,,,white,nonhispanic,F,Reading  Massachusetts  US,197 Rohan Crossroad,Townsend,Massachusetts,Middlesex County,25017,01469,42.703998342658494,-71.66531669014452,41726.22,16291.11,54786
fa261696-6593-44ed-0c72-7abb94ec476e,2016-07-19,,999-99-1690,,,,Victor265,,Rodriguez71,,,,white,nonhispanic,F,Easton  Massachusetts  US,515 Haag Tunnel Unit 33,Boston,Massachusetts,Suffolk County,25025,02203,42.36275503731498,-71.11955005147767,20541.79,540.48,142819
47a5d8d1-2fa0-d3eb-c9b9-1f616feb2859,1986-03-30,,999-17-9739,S99944624,X61665760X,Mrs.,Kiley170,Virgie92,Boehm581,,Altenwerth646,M,white,nonhispanic,F,Lincoln  Massachusetts  US,429 Gusikowski Trafficway Unit 24,Dennis Port,Massachusetts,Barnstable County,25001,02639,41.6470021191094,-70.12941337809004,229120.41,503496.91,57037
2bcfbac5-18c6-7498-32b2-70c995b9bc2f,1954-06-29,,999-63-6882,S99955658,X53547637X,Ms.,Lizbeth716,Leonore418,Witting912,,,S,white,nonhispanic,F,Chelsea  Massachusetts  US,1095 Schinner Mews Apt 33,New Bedford,Massachusetts,Bristol County,25005,02745,41.68010446400049,-70.99313951652243,31952.60,2231557.41,8927
ed4317ee-d2d5-e48d-4ffa-7895a23cd632,1970-08-23,,999-11-1408,S99914193,X49283100X,Mrs.,Coreen424,Mara755,Streich926,,Miller503,M,white,nonhispanic,F,Gloucester  Massachusetts  US,113 Effertz Byway,Newburyport,Massachusetts,Essex County,25009,01951,42.80780003286724,-70.89242062384753,16980.95,1037012.53,15094
3f30fac8-7096-18e3-618a-07a0a3e46830,2009-09-05,,999-67-7897,,,,Shawana711,,Will178,,,,white,nonhispanic,F,Worcester  Massachusetts  US,963 Boehm Avenue,Brockton,Massachusetts,Plymouth County,25023,02351,42.133497134446415,-70.9329081146318,30530.02,6398.69,39454
c42442f9-33cc-e7f5-f3ee-c0c841a95ea8,1996-10-21,,999-70-3868,S99966789,X9664887X,Mr.,Gerald181,Claud279,Yost751,,,M,white,nonhispanic,M,Boston  Massachusetts  US,995 Feest Parade Suite 0,Revere,Massachusetts,Suffolk County,25025,02151,42.46172000344011,-70.99890289115284,145811.94,584.35,105875
2683d398-7743-e8aa-3ea2-b0f2fb9e2edc,1969-08-08,,999-26-9763,S99994770,X38737344X,Mrs.,Annabell933,Euna523,Auer97,,Klein929,M,white,nonhispanic,F,Hopkinton  Massachusetts  US,886 Douglas Landing,Beverly,Massachusetts,Essex County,25009,01915,42.600399563644345,-70.85614173593616,12094.23,482455.35,13306
34535ad7-ed72-e499-23de-5e20c370398e,1962-06-23,,999-77-9472,S99938874,X36237341X,Mrs.,Kira861,,Lemke654,,Kuvalis369,M,asian,nonhispanic,F,Chongqing  Chongqing Municipality  CN,970 Stoltenberg Lane Apt 6,Milton,Massachusetts,Norfolk County,25021,02186,42.226254571940245,-71.12988216478313,235181.62,615573.92,167982
7275db63-ac00-9fcd-5a00-13f5dbd9eaa8,1959-02-22,,999-55-3771,S99910480,X9510199X,Mrs.,Juli424,Rubi442,Fritsch593,,Schmidt332,M,white,nonhispanic,F,Boston  Massachusetts  US,486 MacGyver Trailer Apt 96,Newton,Massachusetts,Middlesex County,25017,02467,42.38759713324036,-71.2400275143859,219127.20,333660.32,216554
7b26c4a3-6f04-7e19-c95c-cfb5c35fa6fc,1964-05-02,,999-19-3552,S99996634,X20734951X,Mr.,Deshawn686,Edgar153,Maggio310,,,M,white,nonhispanic,M,Pepperell  Massachusetts  US,531 Ondricka Street,Cordaville,Massachusetts,Worcester County,,00000,42.227655444670866,-71.48200799370764,206459.68,111272.62,174795
5f2089b9-266e-1218-0a42-6d4f8314ff10,1961-05-28,,999-17-4516,S99939858,X41028867X,Mrs.,Youlanda785,Calista635,Treutel973,,Toy286,M,white,nonhispanic,F,Worcester  Massachusetts  US,342 Cormier Station Unit 72,Methuen,Massachusetts,Essex County,25009,01844,42.73724905842442,-71.16614662817123,35675.52,1773446.52,18093
18fb4a67-87df-3f9f-b967-f2d86f0d6a17,1970-05-06,2017-06-28,999-20-3010,S99946723,X74420311X,Mr.,Ned189,Jack927,Schroeder447,,,M,white,nonhispanic,M,Boston  Massachusetts  US,853 Armstrong Route Unit 80,Swansea,Massachusetts,Bristol County,,00000,41.733517657844565,-71.25362033145524,90652.54,98645.65,149040
9b05c21b-c2e2-6368-aa17-d5d69d50148d,1959-06-18,2000-05-04,999-24-7837,S99931241,X81435665X,Mrs.,Juli424,Opal236,Sanford861,,Jerde200,M,white,nonhispanic,F,North Andover  Massachusetts  US,533 Kling Highlands Apt 62,Plainville,Massachusetts,Norfolk County,,00000,42.04302852105593,-71.29639877800979,10412.82,681604.19,9101
a55a7f31-5076-757a-90ed-03688d7bc659,2003-12-23,,999-49-1338,S99933340,X10753650X,Mr.,Claud279,Lyman173,Ward668,,,,white,nonhispanic,M,Mendon  Massachusetts  US,920 Rice Ranch,East Bridgewater,Massachusetts,Plymouth County,,00000,42.057558810271786,-70.90402334151595,38291.49,0.00,130170
d287e3a7-f980-d0dc-9c27-02abc9e43526,1953-11-14,1981-07-06,999-92-2006,S99931009,X81361281X,Mr.,Herschel574,Tim88,Bernhard322,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,152 Blanda Center Apt 80,West Springfield,Massachusetts,Hampden County,25013,01089,42.08103313755677,-72.69350019982988,60848.05,0.00,59593
e6f0cd85-12a1-e55c-9d64-2a28e50734b2,2008-09-17,,999-74-8924,S99966388,,,Denna536,Jean712,Will178,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,506 Kreiger Branch Suite 34,Amherst Center,Massachusetts,Hampshire County,,00000,42.352888374887975,-72.51701114479869,42398.44,1028.84,48624
